linea,estacion,orden
LineaA,Plaza de Mayo,1
LineaA,Peru,2
LineaA,Piedras,3
LineaA,Lima,4
LineaA,Saenz Peña,5
LineaA,Congreso,6
LineaA,Pasco,7
LineaA,Alberti,8
LineaA,Plaza Miserere,9
LineaA,Loria,10
LineaA,Castro Barros,11
LineaA,Rio de Janeiro,12
LineaA,Acoyte,13
LineaA,Primera Junta,14
LineaA,Puan,15
LineaA,Carabobo,16
LineaA,Flores,17
LineaA,San Pedrito,18
LineaB,Leandro N. Alem,1
LineaB,Florida,2
LineaB,Carlos Pellegrini,3
LineaB,Uruguay,4
LineaB,Callao.B,5
LineaB,Pasteur,6
LineaB,Pueyrredon,7
LineaB,Carlos Gardel,8
LineaB,Medrano,9
LineaB,Angel Gallardo,10
LineaB,Malabia,11
LineaB,Dorrego,12
LineaB,Federico Lacroze,13
LineaB,Tronador,14
LineaB,Los Incas,15
LineaB,Echeverria,16
LineaB,Rosas,17
